"","block","barnacles","plot","location","timediff","total_biomass"
"38","A","no","31","BC",16.1428571428571,3.50166666666667
"39","A","no","31","BC",24.2916666666667,1.11111111111111
"40","A","no","31","BC",32.7202380952381,1.44777777777778
"41","A","no","31","BC",42.1428571428571,2.39055555555556
"42","A","no","31","BC",50.7142857142857,1.11111111111111
"43","A","no","31","BC",56.7142857142857,0
"44","A","no","7","Argentina",0,3.53857041755131
"45","A","no","7","Argentina",15.7142857142857,0
"46","A","no","7","Argentina",19.9940476190476,0
"47","A","no","7","Argentina",24.422619047619,0
"48","A","no","7","Argentina",33.1369047619048,0
"49","A","no","7","Argentina",37.5654761904762,0
"50","A","no","7","Argentina",41.8511904761905,0
"51","A","no","7","Argentina",46.2857142857143,0
"52","A","no","7","Argentina",50.5714285714286,0
"53","A","no","7","Argentina",55,0
"54","A","no","8","Argentina",0,10.6157112526539
"55","A","no","8","Argentina",15.7142857142857,1.76928520877565
"56","A","no","8","Argentina",19.9940476190476,1.76928520877565
"57","A","no","8","Argentina",24.422619047619,0.884642604387827
"58","A","no","8","Argentina",33.1369047619048,0.884642604387827
"59","A","no","8","Argentina",37.5654761904762,0
"60","A","no","8","Argentina",41.8511904761905,0.884642604387827
"61","A","no","8","Argentina",46.2857142857143,1.76928520877565
"62","A","no","8","Argentina",50.5714285714286,3.53857041755131
"63","A","no","8","Argentina",55,2.65392781316348
"64","A","no","8","Argentina",59.4285714285714,0.884642604387827
"65","A","no","9","Argentina",0,5.30785562632696
"66","A","no","9","Argentina",15.7142857142857,0.884642604387827
"67","A","no","9","Argentina",19.9940476190476,0.884642604387827
"68","A","no","9","Argentina",24.422619047619,0.884642604387827
"69","A","no","9","Argentina",33.1369047619048,0
"70","A","no","9","Argentina",37.5654761904762,0
"71","A","no","9","Argentina",41.8511904761905,0
"72","A","no","9","Argentina",46.2857142857143,0
"73","A","no","9","Argentina",50.5714285714286,0
"74","A","no","9","Argentina",55,0
"75","A","no","9","Argentina",59.4285714285714,0
"76","A","yes","13","BC",0,12.8616666666667
"77","A","yes","13","BC",3.71428571428571,3.80444444444444
"78","A","yes","13","BC",8.14285714285714,8.72
"79","A","yes","13","BC",12.1428571428571,9.32611111111111
"80","A","yes","13","BC",16.1428571428571,10.2016666666667
"81","A","yes","13","BC",24.2916666666667,9.66277777777778
"82","A","yes","13","BC",32.7202380952381,2.96277777777778
"83","A","yes","13","BC",42.1428571428571,5.42055555555556
"84","A","yes","13","BC",50.7142857142857,4.51166666666667
"85","A","yes","13","BC",56.7142857142857,0.168333333333333
"86","A","yes","29","Argentina",0,5.30785562632696
"87","A","yes","29","Argentina",15.7142857142857,14.1542816702052
"88","A","yes","29","Argentina",19.9940476190476,14.1542816702052
"89","A","yes","29","Argentina",24.422619047619,11.5003538570418
"90","A","yes","29","Argentina",33.1369047619048,5.30785562632696
"91","A","yes","29","Argentina",37.5654761904762,8.84642604387827
"92","A","yes","29","Argentina",41.8511904761905,9.7310686482661
"93","A","yes","29","Argentina",46.2857142857143,11.5003538570418
"94","A","yes","29","Argentina",50.5714285714286,8.84642604387827
"95","A","yes","29","Argentina",55,12.3849964614296
"96","A","yes","29","Argentina",59.4285714285714,9.7310686482661
"97","A","yes","30","Argentina",0,14.1542816702052
"98","A","yes","30","Argentina",15.7142857142857,2.65392781316348
"99","A","yes","30","Argentina",19.9940476190476,1.76928520877565
"100","A","yes","30","Argentina",24.422619047619,4.42321302193914
"101","A","yes","30","Argentina",33.1369047619048,3.53857041755131
"102","A","yes","30","Argentina",37.5654761904762,3.53857041755131
"103","A","yes","30","Argentina",41.8511904761905,5.30785562632696
"104","A","yes","30","Argentina",46.2857142857143,6.19249823071479
"105","A","yes","30","Argentina",50.5714285714286,2.65392781316348
"106","A","yes","30","Argentina",55,3.53857041755131
"107","A","yes","30","Argentina",59.4285714285714,2.65392781316348
"108","A","yes","31","Argentina",0,8.84642604387827
"109","A","yes","31","Argentina",15.7142857142857,4.42321302193914
"110","A","yes","31","Argentina",19.9940476190476,2.65392781316348
"111","A","yes","31","Argentina",24.422619047619,3.53857041755131
"112","A","yes","31","Argentina",33.1369047619048,4.42321302193914
"113","A","yes","31","Argentina",37.5654761904762,6.19249823071479
"114","A","yes","31","Argentina",41.8511904761905,7.07714083510262
"115","A","yes","31","Argentina",46.2857142857143,6.19249823071479
"116","A","yes","31","Argentina",50.5714285714286,3.53857041755131
"117","A","yes","31","Argentina",55,4.42321302193914
"118","A","yes","31","Argentina",59.4285714285714,3.53857041755131
"119","A","yes","32","Argentina",0,10.6157112526539
"120","A","yes","32","Argentina",15.7142857142857,4.42321302193914
"121","A","yes","32","Argentina",19.9940476190476,4.42321302193914
"122","A","yes","32","Argentina",24.422619047619,7.07714083510262
"123","A","yes","32","Argentina",33.1369047619048,9.7310686482661
"124","A","yes","32","Argentina",37.5654761904762,8.84642604387827
"125","A","yes","32","Argentina",41.8511904761905,5.30785562632696
"126","A","yes","32","Argentina",46.2857142857143,8.84642604387827
"127","A","yes","32","Argentina",50.5714285714286,7.96178343949045
"128","A","yes","32","Argentina",55,7.07714083510262
"129","A","yes","32","Argentina",59.4285714285714,5.30785562632696
"130","A","yes","33","Argentina",0,5.30785562632696
"131","A","yes","33","Argentina",15.7142857142857,6.19249823071479
"132","A","yes","33","Argentina",19.9940476190476,3.53857041755131
"133","A","yes","33","Argentina",24.422619047619,4.42321302193914
"134","A","yes","33","Argentina",33.1369047619048,6.19249823071479
"135","A","yes","33","Argentina",37.5654761904762,7.96178343949045
"136","A","yes","33","Argentina",41.8511904761905,3.53857041755131
"137","A","yes","33","Argentina",46.2857142857143,7.96178343949045
"138","A","yes","33","Argentina",50.5714285714286,6.19249823071479
"139","A","yes","33","Argentina",55,7.07714083510262
"140","A","yes","33","Argentina",59.4285714285714,6.19249823071479
"141","A","yes","34","Argentina",0,8.84642604387827
"142","A","yes","34","Argentina",15.7142857142857,6.19249823071479
"143","A","yes","34","Argentina",19.9940476190476,5.30785562632696
"144","A","yes","34","Argentina",24.422619047619,7.07714083510262
"145","A","yes","34","Argentina",33.1369047619048,7.07714083510262
"146","A","yes","34","Argentina",37.5654761904762,6.19249823071479
"147","A","yes","34","Argentina",41.8511904761905,4.42321302193914
"148","A","yes","34","Argentina",46.2857142857143,6.19249823071479
"149","A","yes","34","Argentina",50.5714285714286,4.42321302193914
"150","A","yes","34","Argentina",55,3.53857041755131
"151","A","yes","34","Argentina",59.4285714285714,4.42321302193914
"152","B","no","32","BC",0,3.33333333333333
"153","B","no","32","BC",3.71428571428571,2.22222222222222
"154","B","no","32","BC",8.14285714285714,11.4477777777778
"155","B","no","32","BC",12.1428571428571,7.77777777777778
"156","B","no","32","BC",16.1428571428571,3.50166666666667
"157","B","no","32","BC",24.2916666666667,3.33333333333333
"158","B","no","32","BC",32.7202380952381,0.168333333333333
"159","B","no","32","BC",42.1428571428571,0.168333333333333
"160","B","no","32","BC",50.7142857142857,3.33333333333333
"161","B","no","32","BC",56.7142857142857,1.11111111111111
"162","B","yes","14","BC",0,11.0772222222222
"163","B","yes","14","BC",3.71428571428571,13.03
"164","B","yes","14","BC",8.14285714285714,5.52166666666667
"165","B","yes","14","BC",12.1428571428571,11.0772222222222
"166","B","yes","14","BC",16.1428571428571,10.6394444444444
"167","B","yes","14","BC",24.2916666666667,8.35
"168","B","yes","14","BC",32.7202380952381,8.78777777777778
"169","B","yes","14","BC",42.1428571428571,10.5722222222222
"170","B","yes","14","BC",50.7142857142857,12.6261111111111
"171","B","yes","14","BC",56.7142857142857,9.96611111111111
"172","C","no","33","BC",0,0
"173","C","no","33","BC",3.71428571428571,1.11111111111111
"174","C","no","33","BC",8.14285714285714,5.55555555555556
"175","C","no","33","BC",12.1428571428571,0
"176","C","no","33","BC",16.1428571428571,0
"177","C","no","33","BC",24.2916666666667,3.33333333333333
"178","C","no","33","BC",32.7202380952381,0
"179","C","no","33","BC",42.1428571428571,7.77777777777778
"180","C","no","33","BC",50.7142857142857,3.33333333333333
"181","C","no","33","BC",56.7142857142857,0
"182","C","yes","15","BC",0,7.71
"183","C","yes","15","BC",3.71428571428571,13.6694444444444
"184","C","yes","15","BC",8.14285714285714,8.41722222222222
"185","C","yes","15","BC",12.1428571428571,12.0872222222222
"186","C","yes","15","BC",16.1428571428571,10.1005555555556
"187","C","yes","15","BC",24.2916666666667,6.86833333333333
"188","C","yes","15","BC",32.7202380952381,4.57888888888889
"189","C","yes","15","BC",42.1428571428571,6.76722222222222
"190","C","yes","15","BC",50.7142857142857,7.37333333333333
"191","C","yes","15","BC",56.7142857142857,2.62611111111111
"192","D","no","34","BC",0,0.168333333333333
"193","D","no","34","BC",3.71428571428571,0.168333333333333
"194","D","no","34","BC",8.14285714285714,2.39055555555556
"195","D","no","34","BC",12.1428571428571,1.11111111111111
"196","D","no","34","BC",16.1428571428571,5.11777777777778
"197","D","no","34","BC",24.2916666666667,1.61611111111111
"198","D","no","34","BC",32.7202380952381,1.27944444444444
"199","D","no","34","BC",42.1428571428571,2.55888888888889
"200","D","no","34","BC",50.7142857142857,2.72722222222222
"201","D","no","34","BC",56.7142857142857,0
"202","D","yes","16","BC",0,10.6727777777778
"203","D","yes","16","BC",3.71428571428571,7.97944444444444
"204","D","yes","16","BC",8.14285714285714,10.8077777777778
"205","D","yes","16","BC",12.1428571428571,5.92555555555556
"206","D","yes","16","BC",16.1428571428571,7.47444444444444
"207","D","yes","16","BC",24.2916666666667,12.4911111111111
"208","D","yes","16","BC",32.7202380952381,7.91222222222222
"209","D","yes","16","BC",42.1428571428571,5.35333333333333
"210","D","yes","16","BC",50.7142857142857,8.51833333333333
"211","D","yes","16","BC",56.7142857142857,0.505
"212","E","no","35","BC",0,0.168333333333333
"213","E","no","35","BC",3.71428571428571,1.27944444444444
"214","E","no","35","BC",8.14285714285714,0
"215","E","no","35","BC",12.1428571428571,0
"216","E","no","35","BC",16.1428571428571,0.168333333333333
"217","E","no","35","BC",24.2916666666667,0.505
"218","E","no","35","BC",32.7202380952381,0.336666666666667
"219","E","no","35","BC",42.1428571428571,0.505
"220","E","no","35","BC",50.7142857142857,0
"221","E","no","35","BC",56.7142857142857,0.168333333333333
"222","E","yes","17","BC",0,3.56888888888889
"223","E","yes","17","BC",3.71428571428571,0.505
"224","E","yes","17","BC",8.14285714285714,1.01
"225","E","yes","17","BC",12.1428571428571,2.55888888888889
"226","E","yes","17","BC",16.1428571428571,0.505
"227","E","yes","17","BC",24.2916666666667,2.89555555555556
"228","E","yes","17","BC",32.7202380952381,1.95277777777778
"229","E","yes","17","BC",42.1428571428571,2.55888888888889
"230","E","yes","17","BC",50.7142857142857,1.95277777777778
"231","E","yes","17","BC",56.7142857142857,0
"232","F","no","36","BC",0,1.11111111111111
"233","F","no","36","BC",3.71428571428571,10
"234","F","no","36","BC",8.14285714285714,1.27944444444444
"235","F","no","36","BC",12.1428571428571,1.11111111111111
"236","F","no","36","BC",16.1428571428571,3.33333333333333
"237","F","no","36","BC",24.2916666666667,3.83833333333333
"238","F","no","36","BC",32.7202380952381,1.27944444444444
"239","F","no","36","BC",42.1428571428571,1.61611111111111
"240","F","no","36","BC",50.7142857142857,2.55888888888889
"241","F","no","36","BC",56.7142857142857,0.168333333333333
"242","F","yes","18","BC",0,3.63611111111111
"243","F","yes","18","BC",3.71428571428571,5.79111111111111
"244","F","yes","18","BC",8.14285714285714,0.168333333333333
"245","F","yes","18","BC",12.1428571428571,1.34666666666667
"246","F","yes","18","BC",16.1428571428571,2.89555555555556
"247","F","yes","18","BC",24.2916666666667,4.00666666666667
"248","F","yes","18","BC",32.7202380952381,2.12111111111111
"249","F","yes","18","BC",42.1428571428571,0.336666666666667
"250","F","yes","18","BC",50.7142857142857,4.00666666666667
"251","F","yes","18","BC",56.7142857142857,1.01
