date,block,barnacles,limpets,plot,Bgrec,Cdrec,#Lot,#Lot+added,#Lit,rawU,rawP,raws,rawperen,%U,%P,%s,%ephem,%peren,logBg,logCd,LogLit,t%ephem,t%peren,rawLdigchange,%Ldigchange,rawblockchange,%blockchange,cumulativeBgrec,cumulativeCdrec,log(cBg+1),log(cCd+1),note
11-Jul-06,B,no,in,20,6,13,7,7,1,,,,,0,,,,,0.84509804,1.146128036,0.301029996,,,0,0,,,,,,,
11-Jul-06,C,no,in,21,2,1,8,8,5,,,,,0,,,,,0.477121255,0.301029996,0.77815125,,,0,0,,,,,,,
11-Jul-06,D,no,in,22,0,0,4,4,0,,,,,0,,,,,0,0,0,,,-1,-0.2,,,,,,,
11-Jul-06,E,no,in,23,0,0,2,2,1,,,,,0,,,,,0,0,0.301029996,,,0,0,,,,,,,
11-Jul-06,F,no,in,24,1,9,4,4,0,,,,,0,,,,,0.301029996,1,0,,,1,0.333333333,,,,,,,
11-Jul-06,A,no,out,25,2,1,,,0,,,,,0,,,,,0.477121255,0.301029996,0,,,,,,,,,,,
11-Jul-06,B,no,out,26,4,5,,,0,,,,,0,,,,,0.698970004,0.77815125,0,,,,,,,,,,,
11-Jul-06,C,no,out,27,2,0,,,1,,,,,0,,,,,0.477121255,0,0.301029996,,,,,,,,,,,
11-Jul-06,D,no,out,28,2,0,,,0,,,,,0,,,,,0.477121255,0,0,,,,,,,,,,,
11-Jul-06,E,no,out,29,1,0,,,1,,,,,0,,,,,0.301029996,0,0.301029996,,,,,,,,,,,
11-Jul-06,F,no,out,30,5,52,,,0,,,,,0,,,,,0.77815125,1.72427587,0,,,,,,,,,,,
11-Jul-06,A,no,con,31,3,2,0,0,0,,,,,0,,,,,0.602059991,0.477121255,0,,,-9,-1,,,,,,,
11-Jul-06,B,no,con,32,6,11,2,2,0,,,,,0,,,,,0.84509804,1.079181246,0,,,-1,-0.333333333,,,,,,,
11-Jul-06,C,no,con,33,3,0,1,1,0,,,,,0,,,,,0.602059991,0,0,,,1,#DIV/0!,,,,,,,
11-Jul-06,D,no,con,34,6,0,0,0,1,,,,,0,,,,,0.84509804,0,0.301029996,,,0,#DIV/0!,,,,,,,
11-Jul-06,E,no,con,35,3,0,1,1,1,,,,,0,,,,,0.602059991,0,0.301029996,,,1,#DIV/0!,,,,,,,
11-Jul-06,F,no,con,36,4,18,9,9,0,,,,,0,,,,,0.698970004,1.278753601,0,,,8,8,,,,,,,
11-Aug-06,A,yes,in,1,1,1,2,2,16,,,,,0,0,0,0,0,0.301029996,0.301029996,1.230448921,0,0,0,0,3,0.5,,,,,
