date,time,number,temp
07/04/2006,5:01:00,1,13
07/04/2006,6:01:00,1,13
07/04/2006,7:01:00,1,13
07/04/2006,8:01:00,1,14
07/04/2006,9:01:00,1,14
07/04/2006,10:01:00,1,14.5
07/04/2006,11:01:00,1,16
07/04/2006,12:01:00,1,19
07/04/2006,13:01:00,1,20
07/04/2006,14:01:00,1,21
07/04/2006,15:01:00,1,22
07/04/2006,16:01:00,1,22.5
07/04/2006,17:01:00,1,22
07/04/2006,18:01:00,1,23
07/04/2006,19:01:00,1,22
07/04/2006,20:01:00,1,19.5
07/04/2006,21:01:00,1,15.5
07/04/2006,22:01:00,1,15
07/04/2006,23:01:00,1,14.5
07/05/2006,0:01:00,1,14.5
07/05/2006,1:01:00,1,14
07/05/2006,2:01:00,1,13.5
07/05/2006,3:01:00,1,13
07/05/2006,4:01:00,1,13
07/05/2006,5:01:00,1,13
07/05/2006,6:01:00,1,13
07/05/2006,7:01:00,1,13
07/05/2006,8:01:00,1,13.5
07/05/2006,9:01:00,1,14
07/05/2006,10:01:00,1,15.5
07/05/2006,11:01:00,1,18.5
07/05/2006,12:01:00,1,20
07/05/2006,13:01:00,1,22.5
07/05/2006,14:01:00,1,23
07/05/2006,15:01:00,1,22
07/05/2006,16:01:00,1,24.5
07/05/2006,17:01:00,1,21.5
07/05/2006,18:01:00,1,23
07/05/2006,19:01:00,1,21
07/05/2006,20:01:00,1,19.5
07/05/2006,21:01:00,1,16.5
07/05/2006,22:01:00,1,15.5
07/05/2006,23:01:00,1,15
07/06/2006,0:01:00,1,14.5
07/06/2006,1:01:00,1,14.5
07/06/2006,2:01:00,1,14
07/06/2006,3:01:00,1,14
07/06/2006,4:01:00,1,14
07/06/2006,5:01:00,1,13.5
07/06/2006,6:01:00,1,13.5
07/06/2006,7:01:00,1,14
07/06/2006,8:01:00,1,15.5
07/06/2006,9:01:00,1,17
07/06/2006,10:01:00,1,19
07/06/2006,11:01:00,1,21
07/06/2006,12:01:00,1,24
07/06/2006,13:01:00,1,26.5
07/06/2006,14:01:00,1,29.5
07/06/2006,15:01:00,1,32.5
07/06/2006,16:01:00,1,30
07/06/2006,17:01:00,1,31
07/06/2006,18:01:00,1,29
07/06/2006,19:01:00,1,27.5
07/06/2006,20:01:00,1,21
07/06/2006,21:01:00,1,17
07/06/2006,22:01:00,1,15.5
07/06/2006,23:01:00,1,14
07/07/2006,0:01:00,1,13
07/07/2006,1:01:00,1,12.5
07/07/2006,2:01:00,1,12
07/07/2006,3:01:00,1,12
07/07/2006,4:01:00,1,12
07/07/2006,5:01:00,1,12
07/07/2006,6:01:00,1,12
07/07/2006,7:01:00,1,13
07/07/2006,8:01:00,1,14.5
07/07/2006,9:01:00,1,15.5
07/07/2006,10:01:00,1,19
07/07/2006,11:01:00,1,21
07/07/2006,12:01:00,1,29
07/07/2006,13:01:00,1,32.5
07/07/2006,14:01:00,1,30.5
07/07/2006,15:01:00,1,31.5
07/07/2006,16:01:00,1,28.5
07/07/2006,17:01:00,1,27.5
07/07/2006,18:01:00,1,28
07/07/2006,19:01:00,1,25.5
07/07/2006,20:01:00,1,23
07/07/2006,21:01:00,1,21
07/07/2006,22:01:00,1,18
07/07/2006,23:01:00,1,17
07/08/2006,0:01:00,1,16.5
07/08/2006,1:01:00,1,16
07/08/2006,2:01:00,1,16
07/08/2006,3:01:00,1,16
07/08/2006,4:01:00,1,15.5
07/08/2006,5:01:00,1,15.5
07/08/2006,6:01:00,1,15.5
07/08/2006,7:01:00,1,16.5
07/08/2006,8:01:00,1,18
07/08/2006,9:01:00,1,21.5
07/08/2006,10:01:00,1,23
07/08/2006,11:01:00,1,19.5
07/08/2006,12:01:00,1,19
07/08/2006,13:01:00,1,18
07/08/2006,14:01:00,1,19.5
07/08/2006,15:01:00,1,20.5
07/08/2006,16:01:00,1,21.5
07/08/2006,17:01:00,1,24
07/08/2006,18:01:00,1,22.5
07/08/2006,19:01:00,1,21
07/08/2006,20:01:00,1,17
07/08/2006,21:01:00,1,14.5
07/08/2006,22:01:00,1,13.5
07/08/2006,23:01:00,1,13.5
07/09/2006,0:01:00,1,13
07/09/2006,1:01:00,1,13
07/09/2006,2:01:00,1,13
07/09/2006,3:01:00,1,13
07/09/2006,4:01:00,1,13.5
07/09/2006,5:01:00,1,14
07/09/2006,6:01:00,1,14
07/09/2006,7:01:00,1,15
07/09/2006,8:01:00,1,16
07/09/2006,9:01:00,1,17.5
07/09/2006,10:01:00,1,20
07/09/2006,11:01:00,1,21
07/09/2006,12:01:00,1,21
07/09/2006,13:01:00,1,21
07/09/2006,14:01:00,1,20.5
07/09/2006,15:01:00,1,22
07/09/2006,16:01:00,1,27.5
07/09/2006,17:01:00,1,28
07/09/2006,18:01:00,1,27
07/09/2006,19:01:00,1,24.5
07/09/2006,20:01:00,1,20.5
07/09/2006,21:01:00,1,16.5
07/09/2006,22:01:00,1,16
07/09/2006,23:01:00,1,15.5
07/10/2006,0:01:00,1,15.5
07/10/2006,1:01:00,1,15
07/10/2006,2:01:00,1,14.5
07/10/2006,3:01:00,1,14
07/10/2006,4:01:00,1,14
07/10/2006,5:01:00,1,14
07/10/2006,6:01:00,1,14
07/10/2006,7:01:00,1,14
07/10/2006,8:01:00,1,15.5
07/10/2006,9:01:00,1,18
07/10/2006,10:01:00,1,21
07/10/2006,11:01:00,1,23.5
07/10/2006,12:01:00,1,27
07/10/2006,13:01:00,1,25
07/10/2006,14:01:00,1,25
07/10/2006,15:01:00,1,26
07/10/2006,16:01:00,1,29.5
07/10/2006,17:01:00,1,25
07/10/2006,18:01:00,1,23
07/10/2006,19:01:00,1,21
07/10/2006,20:01:00,1,19
07/10/2006,21:01:00,1,18
07/10/2006,22:01:00,1,16
07/10/2006,23:01:00,1,15
07/11/2006,0:01:00,1,14
07/11/2006,1:01:00,1,14
07/11/2006,2:01:00,1,13.5
07/11/2006,3:01:00,1,13.5
07/11/2006,4:01:00,1,13.5
07/11/2006,5:01:00,1,13
07/11/2006,6:01:00,1,13
07/11/2006,7:01:00,1,13
07/11/2006,8:01:00,1,14.5
07/11/2006,9:01:00,1,16.5
07/11/2006,10:01:00,1,19.5
07/11/2006,11:01:00,1,21
