date,time,number,temp
06/27/2006,9:01:00,1,17
06/27/2006,10:01:00,1,22
06/27/2006,11:01:00,1,26.5
06/27/2006,12:01:00,1,30.5
06/27/2006,13:01:00,1,33.5
06/27/2006,14:01:00,1,35
06/27/2006,15:01:00,1,25
06/27/2006,16:01:00,1,22
06/27/2006,17:01:00,1,25.5
06/27/2006,18:01:00,1,25
06/27/2006,19:01:00,1,22.5
06/27/2006,20:01:00,1,19.5
06/27/2006,21:01:00,1,16
06/27/2006,22:01:00,1,14
06/27/2006,23:01:00,1,13
06/28/2006,0:01:00,1,12
06/28/2006,1:01:00,1,12.5
06/28/2006,2:01:00,1,12.5
06/28/2006,3:01:00,1,12
06/28/2006,4:01:00,1,11.5
06/28/2006,5:01:00,1,10.5
06/28/2006,6:01:00,1,10
06/28/2006,7:01:00,1,10
06/28/2006,8:01:00,1,11
06/28/2006,9:01:00,1,16
06/28/2006,10:01:00,1,21.5
06/28/2006,11:01:00,1,26
06/28/2006,12:01:00,1,30
06/28/2006,13:01:00,1,33
06/28/2006,14:01:00,1,35
06/28/2006,15:01:00,1,35
06/28/2006,16:01:00,1,35.5
06/28/2006,17:01:00,1,33.5
06/28/2006,18:01:00,1,31.5
06/28/2006,19:01:00,1,27
06/28/2006,20:01:00,1,23
06/28/2006,21:01:00,1,19
06/28/2006,22:01:00,1,16.5
06/28/2006,23:01:00,1,15.5
06/29/2006,0:01:00,1,14.5
06/29/2006,1:01:00,1,13.5
06/29/2006,2:01:00,1,13.5
06/29/2006,3:01:00,1,13.5
06/29/2006,4:01:00,1,13
06/29/2006,5:01:00,1,11.5
06/29/2006,6:01:00,1,10.5
06/29/2006,7:01:00,1,11
06/29/2006,8:01:00,1,11.5
06/29/2006,9:01:00,1,17
06/29/2006,10:01:00,1,22.5
06/29/2006,11:01:00,1,27.5
06/29/2006,12:01:00,1,30
06/29/2006,13:01:00,1,33
06/29/2006,14:01:00,1,34.5
06/29/2006,15:01:00,1,34.5
06/29/2006,16:01:00,1,31.5
06/29/2006,17:01:00,1,31.5
06/29/2006,18:01:00,1,31
06/29/2006,19:01:00,1,27
06/29/2006,20:01:00,1,24
06/29/2006,21:01:00,1,20
06/29/2006,22:01:00,1,18
06/29/2006,23:01:00,1,16
06/30/2006,0:01:00,1,15
06/30/2006,1:01:00,1,14
06/30/2006,2:01:00,1,13
06/30/2006,3:01:00,1,12.5
06/30/2006,4:01:00,1,11.5
06/30/2006,5:01:00,1,11
06/30/2006,6:01:00,1,10.5
06/30/2006,7:01:00,1,10.5
06/30/2006,8:01:00,1,11
06/30/2006,9:01:00,1,17
06/30/2006,10:01:00,1,22.5
06/30/2006,11:01:00,1,27.5
06/30/2006,12:01:00,1,30.5
06/30/2006,13:01:00,1,35
06/30/2006,14:01:00,1,34.5
06/30/2006,15:01:00,1,35
06/30/2006,16:01:00,1,32.5
06/30/2006,17:01:00,1,32.5
06/30/2006,18:01:00,1,27
06/30/2006,19:01:00,1,24
06/30/2006,20:01:00,1,20.5
06/30/2006,21:01:00,1,18
06/30/2006,22:01:00,1,17
06/30/2006,23:01:00,1,16.5
07/01/2006,0:01:00,1,16
07/01/2006,1:01:00,1,16
07/01/2006,2:01:00,1,15.5
07/01/2006,3:01:00,1,15.5
07/01/2006,4:01:00,1,15
07/01/2006,5:01:00,1,15
07/01/2006,6:01:00,1,14.5
07/01/2006,7:01:00,1,14.5
07/01/2006,8:01:00,1,15
07/01/2006,9:01:00,1,17
07/01/2006,10:01:00,1,18.5
07/01/2006,11:01:00,1,21.5
07/01/2006,12:01:00,1,25
07/01/2006,13:01:00,1,28
07/01/2006,14:01:00,1,29
07/01/2006,15:01:00,1,29.5
07/01/2006,16:01:00,1,30.5
07/01/2006,17:01:00,1,28.5
07/01/2006,18:01:00,1,25.5
07/01/2006,19:01:00,1,22.5
07/01/2006,20:01:00,1,19.5
07/01/2006,21:01:00,1,18
07/01/2006,22:01:00,1,17
07/01/2006,23:01:00,1,17
07/02/2006,0:01:00,1,16
07/02/2006,1:01:00,1,16
07/02/2006,2:01:00,1,15.5
07/02/2006,3:01:00,1,15
07/02/2006,4:01:00,1,15
07/02/2006,5:01:00,1,14.5
07/02/2006,6:01:00,1,14.5
07/02/2006,7:01:00,1,14.5
07/02/2006,8:01:00,1,15.5
07/02/2006,9:01:00,1,17
07/02/2006,10:01:00,1,18
07/02/2006,11:01:00,1,19.5
07/02/2006,12:01:00,1,22
07/02/2006,13:01:00,1,27.5
07/02/2006,14:01:00,1,33.5
07/02/2006,15:01:00,1,35
07/02/2006,16:01:00,1,30.5
07/02/2006,17:01:00,1,27
07/02/2006,18:01:00,1,24
07/02/2006,19:01:00,1,22
07/02/2006,20:01:00,1,21.5
07/02/2006,21:01:00,1,18
07/02/2006,22:01:00,1,17.5
07/02/2006,23:01:00,1,16.5
07/03/2006,0:01:00,1,16.5
07/03/2006,1:01:00,1,16
07/03/2006,2:01:00,1,15.5
07/03/2006,3:01:00,1,15
07/03/2006,4:01:00,1,15
07/03/2006,5:01:00,1,14.5
07/03/2006,6:01:00,1,14.5
07/03/2006,7:01:00,1,14.5
07/03/2006,8:01:00,1,14.5
07/03/2006,9:01:00,1,15
07/03/2006,10:01:00,1,16.5
07/03/2006,11:01:00,1,18
07/03/2006,12:01:00,1,17.5
07/03/2006,13:01:00,1,19
07/03/2006,14:01:00,1,23
07/03/2006,15:01:00,1,24
07/03/2006,16:01:00,1,23
07/03/2006,17:01:00,1,22
07/03/2006,18:01:00,1,20
07/03/2006,19:01:00,1,17.5
07/03/2006,20:01:00,1,16.5
07/03/2006,21:01:00,1,16
07/03/2006,22:01:00,1,15
07/03/2006,23:01:00,1,15
07/04/2006,0:01:00,1,14.5
07/04/2006,1:01:00,1,14
07/04/2006,2:01:00,1,14
07/04/2006,3:01:00,1,13.5
07/04/2006,4:01:00,1,13.5
