date,sp,barnacles,size_mm
2007-04-06,lsc,yes,2.703
2007-04-06,lsc,yes,2.546
2007-04-06,lsc,yes,2.205
2007-04-06,lsc,yes,2.559
2007-04-06,lsc,yes,3.599
2007-04-06,lsc,yes,3.118
2007-04-06,lsc,yes,3.273
2007-04-06,lsc,yes,3.775
2007-04-06,lsc,yes,3.407
2007-04-06,lsc,yes,2.685
2007-04-06,lsc,yes,2.749
2007-04-06,lsc,yes,1.952
2007-04-06,lsc,yes,2.843
2007-04-06,lsc,yes,2.805
2007-04-06,lsc,yes,4.261
2007-04-06,lsc,yes,3.916
2007-04-06,lsc,yes,2.939
2007-04-06,lsc,yes,2.593
2007-04-06,lsc,yes,2.707
2007-04-06,lsc,yes,2.902
2007-04-06,lsc,yes,2.964
2007-04-06,lsc,yes,3.614
2007-04-06,lsc,yes,2.873
2007-04-06,lsc,yes,3.163
2007-04-06,lsc,yes,2.603
2007-04-06,lsc,yes,2.819
2007-04-06,lsc,yes,2.702
2007-04-06,lsc,yes,2.574
2007-04-06,lsc,yes,3.224
2007-04-06,lsc,yes,4.643
2007-04-06,lsc,yes,3.229
2007-04-06,lsc,yes,2.957
2007-04-06,lsc,yes,3.843
2007-04-06,lsc,yes,3.222
2007-04-06,lsc,yes,3.023
2007-04-06,lsc,yes,3.229
2007-04-06,lsc,yes,2.442
2007-04-06,lsc,yes,2.68
2007-04-06,lsc,yes,3.17
2007-10-27,lsc,yes,5.036
2007-10-27,lsc,yes,3.048
2007-10-27,lsc,yes,3.897
2007-10-27,lsc,yes,2.937
2007-10-27,lsc,yes,2.077
2007-10-27,lsc,yes,5.382
2007-10-27,lsc,yes,1.805
2007-10-27,lsc,yes,1.897
2007-10-27,lsc,yes,5.183
2007-10-27,lsc,yes,3.113
2007-10-27,ldig,yes,8.459
2007-10-27,lsc,yes,3.189
2007-10-27,lsc,yes,1.663
2007-10-27,lsc,yes,2.117
2007-10-27,lsc,yes,2.424
2007-10-27,lsc,yes,1.966
2007-10-27,lsc,yes,3.013
2007-10-27,lsc,yes,3.654
2007-10-27,lsc,yes,3.246
2007-10-27,lsc,yes,2.869
